IdReteVis;NomeReteVis;idStazione;Nome;IstatProvincia;Provincia;IstatComune;Comune;Attributo;Localita;Fiume;Bacino;IdTipologia;Descrizione;IdSensore;Storico;UnitaMisura;Frequenza;Quota;UTM Nord;UTM Est;CGB_Nord;CGB_Est;lat decimale;Lon decimale;DataMinimaRT;DataMassimaRT;visibilitaweb;invioPC;UTM Nord Staz;UTM Est Staz;Quota Staz
4;AIPO;974;Casalmaggiore (AIPO) *;19;CR;19021;Casalmaggiore;SS343;S.S.343 KM23+400;Po;PO;1;Casalmaggiore (AIPO) * Livello Idrometrico;8522;0;cm;10;33;4980595;611822;4980615;1611851;44,96999739;10,41805003;01/01/1998;07/05/2019;N;0;4980595;611822;33
4;AIPO;974;Casalmaggiore (AIPO) *;19;CR;19021;Casalmaggiore;SS343;S.S.343 KM23+400;Po;PO;139;Casalmaggiore (AIPO) * Temperatura di Compensazione;11182;0;°C;10;33;4980595;611822;4980615;1611851;44,96999739;10,41805003;17/10/2011;07/05/2019;N;0;4980595;611822;33
4;AIPO;974;Casalmaggiore (AIPO) *;19;CR;19021;Casalmaggiore;SS343;S.S.343 KM23+400;Po;PO;138;Casalmaggiore (AIPO) * Batteria;11187;0;V;60;33;4980595;611822;4980615;1611851;44,96999739;10,41805003;04/11/2011;07/05/2019;N;0;4980595;611822;33
4;AIPO;979;Marcaria (AIPO) * ;20;MN;20031;Marcaria;-9999;SP.MARCARIA-S.MARTINO;Oglio;OGLIO SUBLACUALE;1;Marcaria (AIPO) *  Livello Idrometrico;8545;0;cm;10;38;4996590;620526;4996610;1620555;45,11250314;10,53222606;25/06/1998;07/05/2019;N;0;4996590;620526;38
4;AIPO;980;Mozzanica (AIPO) *;16;BG;16142;Mozzanica;SS11;SS.11 KM 190+500;Serio;SERIO;1;Mozzanica (AIPO) * Livello Idrometrico;8544;0;cm;10;124;5036367;555729;5036388;1555757;45,47861542;9,71305264;25/06/1998;07/05/2019;N;0;5036368;555729;124
4;AIPO;1020;Canonica d`Adda (AIPO) *;16;BG;16049;Canonica d'Adda;-9999;Vaprio d'Adda;Adda;ADDA SUBLACUALE;139;Canonica d`Adda (AIPO) * Temperatura di Compensazione;11184;0;°C;10;168;5047308;541783;5047328;1541811;45,57805753;9,53556131;17/10/2011;07/05/2019;N;0;5047307;541783;168
4;AIPO;1020;Canonica d`Adda (AIPO) *;16;BG;16049;Canonica d'Adda;-9999;Vaprio d'Adda;Adda;ADDA SUBLACUALE;1;Canonica d`Adda (AIPO) * Livello Idrometrico;8616;0;cm;10;168;5047308;541783;5047328;1541811;45,57805753;9,53556131;09/04/2003;07/05/2019;N;0;5047307;541783;168
4;AIPO;1020;Canonica d`Adda (AIPO) *;16;BG;16049;Canonica d'Adda;-9999;Vaprio d'Adda;Adda;ADDA SUBLACUALE;138;Canonica d`Adda (AIPO) * Batteria;11189;0;V;60;168;5047308;541783;5047328;1541811;45,57805753;9,53556131;04/11/2011;07/05/2019;N;0;5047307;541783;168
4;AIPO;1022;Ostiano (AIPO) *;19;CR;19064;Ostiano;-9999;PONTE SULL OGLIO;Oglio;OGLIO SUBLACUALE;1;Ostiano (AIPO) * Livello Idrometrico;8618;0;cm;10;37;5007955;597598;5007976;1597627;45,21832942;10,24305381;01/01/2002;07/05/2019;N;0;5007956;597598;37
4;AIPO;1022;Ostiano (AIPO) *;19;CR;19064;Ostiano;-9999;PONTE SULL OGLIO;Oglio;OGLIO SUBLACUALE;138;Ostiano (AIPO) * Batteria;11188;0;V;60;37;5007955;597598;5007976;1597627;45,21832942;10,24305381;06/11/2011;07/05/2019;N;0;5007956;597598;37
